debug7SEXL8:debug7EWWUC,initialized,0,,1395856402244
debug7SEXL8:debug7EWWUC,window_resize,0,"[1874, 1006]",1395856402244
debugJ4MQVS:debugHP3MKX,initialized,0,,1395857508973
debugJ4MQVS:debugHP3MKX,window_resize,0,"[1874, 1006]",1395857508973
debugDUXVO4:debugNGBHQH,initialized,0,,1395859099022
debugDUXVO4:debugNGBHQH,window_resize,0,"[1874, 1006]",1395859099022
debug67BGSH:debugA44F4X,initialized,0,,1395958290164
debug67BGSH:debugA44F4X,window_resize,1,"[1874, 1006]",1395958290165
debugJ431RG:debugSLDIHY,initialized,0,,1395959110069
debugJ431RG:debugSLDIHY,window_resize,0,"[1874, 1006]",1395959110069
